# A El   Z    S(n) - neutron energy
  1  n   0       * 
176 Re  75   17532.
176 Os  76   18245.
176 Ir  77   19157.
176 Pt  78   19758.
176 Au  79   20428#
176 Hg  80   21286.
176 Tl  81       * 
177 Er  68   10349#
177 Tm  69   11301#
177 Yb  70   12433.
177 Lu  71   13360.
177 Hf  72   14541.
177 Ta  73   15448.
177 W   74   16211.
177 Re  75   17123.
177 Os  76   17993.
177 Ir  77   18795.
177 Pt  78   19799.
177 Au  79   20283.
177 Hg  80   20952.
177 Tl  81       * 
178 Er  68    9772#
178 Tm  69   10887#
178 Yb  70   12346.
178 Lu  71   13098.
178 Hf  72   14001.
178 Ta  73   15375#
178 W   74   15907.
178 Re  75   16733.
178 Os  76   17588.
178 Ir  77   18516.
178 Pt  78   19206.
178 Au  79   19925.
178 Hg  80   20673.
178 Tl  81   21515#
178 Pb  82       * 
179 Tm  69   10274#
179 Yb  70   11694#
179 Lu  71   12817.
179 Hf  72   13724.
179 Ta  73   14785.
179 W   74   15736.
179 Re  75   16457.
179 Os  76   17205.
179 Ir  77   18176.
179 Pt  78   19040.
179 Au  79   19586.
179 Hg  80   20288.
179 Tl  81   21070.
179 Pb  82       * 
180 Tm  69    9947#
180 Yb  70   11047#
180 Lu  71   12481.
180 Hf  72   13486.
180 Ta  73   14477#
180 W   74   15371.
180 Re  75   16326.
180 Os  76   16956.
180 Ir  77   17868.
180 Pt  78   18580.
180 Au  79   19464.
180 Hg  80   20077.
180 Tl  81   20739#
180 Pb  82   21658.
181 Tm  69    9713#
181 Yb  70   10693#
181 Lu  71   11881.
181 Hf  72   13082.
181 Ta  73   14223.
181 W   74   15081.
181 Re  75   16075.
181 Os  76   16673.
181 Ir  77   17523.
181 Pt  78   18256.
181 Au  79   19025.
181 Hg  80   19875.
181 Tl  81   20672.
181 Pb  82   21310.
182 Yb  70   10363#
182 Lu  71   11346#
182 Hf  72   12412.
182 Ta  73   13639.
182 W   74   14752.
182 Re  75   15751.
182 Os  76   16393.
182 Ir  77   17216.
182 Pt  78   17875.
182 Au  79   18817.
182 Hg  80   19469.
182 Tl  81   20083.
182 Pb  82   21026.
183 Yb  70   10154#
183 Lu  71   11061.
183 Hf  72   12022.
183 Ta  73   12997.
183 W   74   14274.
183 Re  75   15434.
183 Os  76   16256.
183 Ir  77   16882.
183 Pt  78   17533.
183 Au  79   18462.
183 Hg  80   19286.
183 Tl  81   19931.
183 Pb  82   20600.
184 Yb  70    9863#
184 Lu  71   10675#
184 Hf  72   11592.
184 Ta  73   12552.
184 W   74   13601.
184 Re  75   14916.
184 Os  76   15786.
184 Ir  77   16701.
184 Pt  78   17308.
184 Au  79   18160.
184 Hg  80   18914.
184 Tl  81   19697.
184 Pb  82   20369.
184 Bi  83       * 
185 Yb  70    9543#
185 Lu  71   10314#
185 Hf  72   11179.
185 Ta  73   12244.
185 W   74   13164.
185 Re  75   14152.
185 Os  76   15284.
185 Ir  77   16274.
185 Pt  78   17058.
185 Au  79   17809.
185 Hg  80   18521.
185 Tl  81   19313.
185 Pb  82   20108.
185 Bi  83       * 
186 Lu  71    9941#
186 Hf  72   11067.
186 Ta  73   11910.
186 W   74   12945.
186 Re  75   13850.
186 Os  76   14890.
186 Ir  77   15704.
186 Pt  78   16672.
186 Au  79   17538.
186 Hg  80   18332.
186 Tl  81   19146.
186 Pb  82   19773.
186 Bi  83   20351.
186 Po  84       * 
187 Lu  71    9835#
187 Hf  72   10639#
187 Ta  73   11643.
187 W   74   12658.
187 Re  75   13540.
187 Os  76   14555.
187 Ir  77   15356.
187 Pt  78   16139.
187 Au  79   17312.
187 Hg  80   18076.
187 Tl  81   18829.
187 Pb  82   19588.
187 Bi  83   20290#
187 Po  84       * 
188 Lu  71    9723#
188 Hf  72   10597#
188 Ta  73   11147.
188 W   74   12301.
188 Re  75   13232.
188 Os  76   14279.
188 Ir  77   15315.
188 Pt  78   16099.
188 Au  79   16799.
188 Hg  80   17805.
188 Tl  81   18592.
188 Pb  82   19275.
188 Bi  83   20191.
188 Po  84   20787.
189 Hf  72   10488#
189 Ta  73   11076#
189 W   74   11856.
189 Re  75   12905.
189 Os  76   13910.
189 Ir  77   15042.
189 Pt  78   15926.
189 Au  79   16696.
189 Hg  80   17651.
189 Tl  81   18314.
189 Pb  82   18999.
189 Bi  83   19824.
189 Po  84   20393.
190 Hf  72   10294#
190 Ta  73   11044#
190 W   74   11857.
190 Re  75   12761.
190 Os  76   13713.
190 Ir  77   14551.
190 Pt  78   15628.
190 Au  79   16604.
190 Hg  80   17311.
190 Tl  81   18178.
190 Pb  82   18744.
190 Bi  83   19547.
190 Po  84   20162.
191 Ta  73   10805#
191 W   74   11701.
191 Re  75   12513.
191 Os  76   13551.
191 Ir  77   14401.
191 Pt  78   15371.
191 Au  79   16358.
191 Hg  80   17108.
191 Tl  81   17809.
191 Pb  82   18529.
191 Bi  83   19317.
191 Po  84   19789.
191 At  85       * 
192 Ta  73   10693#
192 W   74   11410#
192 Re  75   12095.
192 Os  76   13317.
192 Ir  77   14224.
192 Pt  78   15124.
192 Au  79   16081.
192 Hg  80   16783.
192 Tl  81   17642.
192 Pb  82   18282.
192 Bi  83   19077.
192 Po  84   19649.
192 At  85       * 
193 Ta  73   10521#
193 W   74   11253#
193 Re  75   12023.
193 Os  76   13141.
193 Ir  77   13970.
193 Pt  78   14924.
193 Au  79   15749.
193 Hg  80   16612.
193 Tl  81   17336.
193 Pb  82   18106.
193 Bi  83   18787.
193 Po  84   19399.
193 At  85   20073.
193 Rn  86       * 
194 Ta  73   10379#
194 W   74   11019#
194 Re  75   11791#
194 Os  76   12695.
194 Ir  77   13838.
194 Pt  78   14614.
194 Au  79   15582.
194 Hg  80   16315.
194 Tl  81   17207.
194 Pb  82   17794.
194 Bi  83   18636.
194 Po  84   19076.
194 At  85   19788.
194 Rn  86       * 
195 W   74   10866#
195 Re  75   11490#
195 Os  76   12259.
195 Ir  77   13298.
195 Pt  78   14456.
195 Au  79   15304.
195 Hg  80   16093.
195 Tl  81   16820.
195 Pb  82   17655.
195 Bi  83   18283.
195 Po  84   18873.
195 At  85   19545.
195 Rn  86   20135.
196 W   74   10497#
196 Re  75   11448#
196 Os  76   11984.
196 Ir  77   13046.
196 Pt  78   14027.
196 Au  79   15069.
196 Hg  80   15784.
196 Tl  81   16701.
196 Pb  82   17283.
196 Bi  83   18122.
196 Po  84   18611.
196 At  85   19337.
196 Rn  86   19895.
197 W   74   10272#
197 Re  75   11066#
197 Os  76   11940#
197 Ir  77   12714.
197 Pt  78   13768.
197 Au  79   14715.
197 Hg  80   15669.
197 Tl  81   16329.
197 Pb  82   17180.
197 Bi  83   17804.
197 Po  84   18444.
197 At  85   19027.
197 Rn  86   19682.
197 Fr  87       * 
198 Re  75   10740#
198 Os  76   11702#
198 Ir  77   12528#
198 Pt  78   13402.
198 Au  79   14584.
198 Hg  80   15271.
198 Tl  81   16174.
198 Pb  82   16861.
198 Bi  83   17503.
198 Po  84   18142.
198 At  85   18942.
198 Rn  86   19343.
198 Fr  87       * 
199 Re  75   10501#
199 Os  76   11317#
199 Ir  77   12277.
199 Pt  78   13111.
199 Au  79   14096.
199 Hg  80   15148.
199 Tl  81   15860.
199 Pb  82   16629.
199 Bi  83   17253.
199 Po  84   17993.
199 At  85   18610.
199 Rn  86   19152.
199 Fr  87   19625.
200 Os  76   11085#
200 Ir  77   11932#
200 Pt  78   12837.
200 Au  79   13801.
200 Hg  80   14691.
200 Tl  81   15661.
200 Pb  82   16326.
200 Bi  83   17143.
200 Po  84   17611.
200 At  85   18416.
200 Rn  86   18917.
200 Fr  87   19584.
201 Os  76   10898#
201 Ir  77   11641#
201 Pt  78   12494.
201 Au  79   13449.
201 Hg  80   14259.
201 Tl  81   15264.
201 Pb  82   16181.
201 Bi  83   16761.
201 Po  84   17455.
201 At  85   18108.
201 Rn  86   18715.
201 Fr  87   19325.
201 Ra  88       * 
202 Os  76   10451#
202 Ir  77   11308#
202 Pt  78   12235.
202 Au  79   13255.
202 Hg  80   13984.
202 Tl  81   15075.
202 Pb  82   15832.
202 Bi  83   16513.
202 Po  84   17142.
202 At  85   17745.
202 Rn  86   18412.
202 Fr  87   19178.
202 Ra  88       * 
203 Os  76    8544#
203 Ir  77   10936#
203 Pt  78   12028#
203 Au  79   12885.
203 Hg  80   13749.
203 Tl  81   14723.
203 Pb  82   15658.
203 Bi  83   16251.
203 Po  84   16932.
203 At  85   17515.
203 Rn  86   18224.
203 Fr  87   18854.
203 Ra  88   19417.
204 Ir  77    9054#
204 Pt  78   11372#
204 Au  79   12440#
204 Hg  80   13487.
204 Tl  81   14508.
204 Pb  82   15311.
204 Bi  83   16047.
204 Po  84   16542.
204 At  85   17427.
204 Rn  86   17838.
204 Fr  87   18631.
204 Ra  88   19160.
205 Ir  77    7413#
205 Pt  78    9482#
205 Au  79   11769#
205 Hg  80   13161.
205 Tl  81   14202.
205 Pb  82   15126.
205 Bi  83   15682.
205 Po  84   16353.
205 At  85   16952.
205 Rn  86   17698.
205 Fr  87   18328.
205 Ra  88   18965.
205 Ac  89       * 
206 Pt  78    7852#
206 Au  79    9707#
206 Hg  80   12398.
206 Tl  81   14049.
206 Pb  82   14818.
206 Bi  83   15525.
206 Po  84   15990.
206 At  85   16696.
206 Rn  86   17305.
206 Fr  87   17992.
206 Ra  88   18633.
206 Ac  89       * 
207 Pt  78    7716#
207 Au  79    8183#
207 Hg  80   10342.
207 Tl  81   13356.
207 Pb  82   14824.
207 Bi  83   15132.
207 Po  84   15767.
207 At  85   16398.
207 Rn  86   17067.
207 Fr  87   17677.
207 Ra  88   18437.
207 Ac  89   19103.
208 Pt  78    7501#
208 Au  79    8029#
208 Hg  80    8462.
208 Tl  81   10639.
208 Pb  82   14105.
208 Bi  83   14984.
208 Po  84   15423.
208 At  85   16182.
208 Rn  86   16665.
208 Fr  87   17566.
208 Ra  88   17980.
208 Ac  89   18868.
208 Th  90       * 
209 Au  79    7873#
209 Hg  80    8299#
209 Tl  81    8752.
209 Pb  82   11305.
209 Bi  83   14346.
209 Po  84   15362.
209 At  85   15797.
209 Rn  86   16448.
209 Fr  87   17067.
209 Ra  88   17828.
209 Ac  89   18445.
209 Th  90       * 
210 Au  79    7713#
210 Hg  80    8243#
210 Tl  81    8639.
210 Pb  82    9122.
210 Bi  83   12064.
210 Po  84   14626.
210 At  85   15644.
210 Rn  86   16091.
210 Fr  87   16809.
210 Ra  88   17427.
210 Ac  89   18106.
210 Th  90   18766.
211 Hg  80    8122#
211 Tl  81    8575.
211 Pb  82    9020.
211 Bi  83    9743.
211 Po  84   12209.
211 At  85   14907.
211 Rn  86   15956.
211 Fr  87   16513.
211 Ra  88   17168.
211 Ac  89   17784.
211 Th  90   18600#
211 Pa  91       * 
212 Hg  80    8020#
212 Tl  81    8447#
212 Pb  82    8962.
212 Bi  83    9468.
212 Po  84   10558.
212 At  85   12798.
212 Rn  86   15197.
212 Fr  87   16325.
212 Ra  88   16784.
212 Ac  89   17655.
212 Th  90   18091.
212 Pa  91       * 
213 Hg  80    7852#
213 Tl  81    8280.
213 Pb  82    8853.
213 Bi  83    9515.
213 Po  84   10363.
213 At  85   11074.
213 Rn  86   13083.
213 Fr  87   15555.
213 Ra  88   16629.
213 Ac  89   17190.
213 Th  90   17932.
213 Pa  91   18560#
214 Hg  80    7722#
214 Tl  81    8127#
214 Pb  82    8776.
214 Bi  83    9225.
214 Po  84   10243.
214 At  85   10894.
214 Rn  86   11802.
214 Fr  87   13585.
214 Ra  88   15850.
214 Ac  89   16976.
214 Th  90   17558.
214 Pa  91   18250.
215 Hg  80    7601#
215 Tl  81    8015#
215 Pb  82    8596.
215 Bi  83    9281.
215 Po  84   10030.
215 At  85   10818.
215 Rn  86   11615.
215 Fr  87   12271.
215 Ra  88   13954.
215 Ac  89   16266.
215 Th  90   17341.
215 Pa  91   17941.
215 U   92       * 
216 Hg  80    7461#
216 Tl  81    7890#
216 Pb  82    8480#
216 Bi  83    9067.
216 Po  84    9890.
216 At  85   10506.
216 Rn  86   11570.
216 Fr  87   12212.
216 Ra  88   12944.
216 Ac  89   14442.
216 Th  90   16539.
216 Pa  91   17828.
216 U   92       * 
217 Tl  81    7741#
217 Pb  82    8245#
217 Bi  83    9041.
217 Po  84    9717.
217 At  85   10492.
217 Rn  86   11315.
217 Fr  87   12146.
217 Ra  88   12786.
217 Ac  89   13469.
217 Th  90   14858.
217 Pa  91   16938.
217 U   92   18092#
218 Tl  81    7680#
218 Pb  82    8169#
218 Bi  83    8800.
218 Po  84    9568.
218 At  85   10301.
218 Rn  86   11178.
218 Fr  87   12054.
218 Ra  88   12782.
218 Ac  89   13443.
218 Th  90   14074.
218 Pa  91   15258.
218 U   92   17314.
219 Pb  82    8104#
219 Bi  83    8590#
219 Po  84    9344.
219 At  85   10141.
219 Rn  86   10971.
219 Fr  87   11839.
219 Ra  88   12638.
219 Ac  89   13276.
219 Th  90   13877.
219 Pa  91   14670.
219 U   92   15830#
219 Np  93       * 
220 Pb  82    7927#
220 Bi  83    8540#
220 Po  84    9236.
220 At  85    9865.
220 Rn  86   10747.
220 Fr  87   11719.
220 Ra  88   12523.
220 Ac  89   13242.
220 Th  90   13840.
220 Pa  91   14608#
220 U   92   15104#
220 Np  93       * 
221 Bi  83    8327#
221 Po  84    9050.
221 At  85    9755.
221 Rn  86   10500.
221 Fr  87   11483.
221 Ra  88   12573.
221 Ac  89   13189.
221 Th  90   13673.
221 Pa  91   14306.
221 U   92   14909.
221 Np  93   15750#
222 Bi  83    8232#
222 Po  84    8919.
222 At  85    9565.
222 Rn  86   10382.
222 Fr  87   11246.
222 Ra  88   12092.
222 Ac  89   13264.
222 Th  90   13608.
222 Pa  91   14206#
222 U   92   14803#
222 Np  93   15435#
223 Bi  83    8104#
223 Po  84    8838#
223 At  85    9497.
223 Rn  86   10224.
223 Fr  87   11037.
223 Ra  88   11873.
223 Ac  89   12839.
223 Th  90   13697.
223 Pa  91   14198.
223 U   92   14825.
223 Np  93   15393#
224 Bi  83    8041#
224 Po  84    8719#
224 At  85    9384.
224 Rn  86   10069.
224 Fr  87   10772.
224 Ra  88   11636.
224 Ac  89   12529.
224 Th  90   13352.
224 Pa  91   14435#
224 U   92   14693.
224 Np  93   15286#
225 Po  84    8691#
225 At  85    9176#
225 Rn  86    9998.
225 Fr  87   10704.
225 Ra  88   11382.
225 Ac  89   12331.
225 Th  90   13218.
225 Pa  91   14122.
225 U   92   14599.
225 Np  93   15155#
226 Po  84    8504#
226 At  85    9239#
226 Rn  86    9840.
226 Fr  87   10370.
226 Ra  88   11300.
226 Ac  89   12067.
226 Th  90   12938.
226 Pa  91   13971.
226 U   92   14536.
226 Np  93   15241#
227 Po  84    8393#
227 At  85    9054#
227 Rn  86    9790.
227 Fr  87   10280.
227 Ra  88   10958.
227 Ac  89   11930.
227 Th  90   12647.
227 Pa  91   13652.
227 U   92   14477.
227 Np  93   15168.
227 Pu  94       * 
228 At  85    9073#
228 Rn  86    9646.
228 Fr  87   10278.
228 Ra  88   10870.
228 Ac  89   11557.
228 Th  90   12569.
228 Pa  91   13252.
228 U   92   14249.
228 Np  93   15324#
228 Pu  94       * 
229 At  85    8802#
229 Rn  86    9666.
229 Fr  87   10156.
229 Ra  88   10758.
229 Ac  89   11302.
229 Th  90   12361.
229 Pa  91   13076.
229 U   92   13977.
229 Np  93   14925.
229 Pu  94   15517#
229 Am  95       * 
230 Rn  86    9338#
230 Fr  87   10040.
230 Ra  88   10566.
230 Ac  89   11198.
230 Th  90   12051.
230 Pa  91   12892.
230 U   92   13749.
230 Np  93   14502.
230 Pu  94   15295.
230 Am  95       * 
231 Rn  86    9051#
231 Fr  87    9730.
231 Ra  88   10488.
231 Ac  89   11069.
231 Th  90   11912.
231 Pa  91   12615.
231 U   92   13547.
231 Np  93   14297.
231 Pu  94   15229.
231 Am  95   15883#
231 Cm  96       * 
232 Fr  87    9556.
232 Ra  88   10161.
232 Ac  89   10826.
232 Th  90   11558.
232 Pa  91   12369.
232 U   92   13148.
232 Np  93   14019#
232 Pu  94   14713.
232 Am  95   15735#
232 Cm  96       * 
233 Fr  87    9303.
233 Ra  88   10025.
233 Ac  89   10597.
233 Th  90   11226.
233 Pa  91   12077.
233 U   92   13029.
233 Np  93   13818.
233 Pu  94   14399.
233 Am  95   15289#
233 Cm  96   16118#
233 Bk  97       * 
234 Ra  88    9708.
234 Ac  89   10455.
234 Th  90   10976.
234 Pa  91   11750.
234 U   92   12607.
234 Np  93   13547#
234 Pu  94   14155.
234 Am  95   15021#
234 Cm  96   15730#
234 Bk  97       * 
235 Ra  88    9347#
235 Ac  89   10093.
235 Th  90   10856.
235 Pa  91   11343.
235 U   92   12142.
235 Np  93   13048.
235 Pu  94   14011.
235 Am  95   14780#
235 Cm  96   15403#
235 Bk  97   16300#
236 Ac  89    9762.
236 Th  90   10500.
236 Pa  91   11147.
236 U   92   11843.
236 Np  93   12719.
236 Pu  94   13591.
236 Am  95   14563#
236 Cm  96   15012.
236 Bk  97   16056#
237 Ac  89    9480#
237 Th  90   10205.
237 Pa  91   10903.
237 U   92   11671.
237 Np  93   12314.
237 Pu  94   13233.
237 Am  95   14198#
237 Cm  96   14929#
237 Bk  97   15658#
237 Cf  98       * 
238 Th  90    9873#
238 Pa  91   10582.
238 U   92   11279.
238 Np  93   12066.
238 Pu  94   12881.
238 Am  95   13762#
238 Cm  96   14552.
238 Bk  97   15469#
238 Cf  98       * 
239 Th  90    9647#
239 Pa  91   10333#
239 U   92   10960.
239 Np  93   11703.
239 Pu  94   12646.
239 Am  95   13322#
239 Cm  96   14242.
239 Bk  97   15080#
239 Cf  98   15813#
239 Es  99       * 
240 Pa  91   10127#
240 U   92   10734.
240 Np  93   11281.
240 Pu  94   12180.
240 Am  95   13053.
240 Cm  96   13863.
240 Bk  97   14694#
240 Cf  98   15429#
240 Es  99       * 
241 Pa  91    9840#
241 U   92   10518#
241 Np  93   11193.
241 Pu  94   11775.
241 Am  95   12598.
241 Cm  96   13587.
241 Bk  97   14361#
241 Cf  98   15085#
241 Es  99   15835#
241 Fm 100       * 
242 U   92   10238#
242 Np  93   11041.
242 Pu  94   11551.
242 Am  95   12184.
242 Cm  96   13063.
242 Bk  97   14073#
242 Cf  98   14746.
242 Es  99   15540#
242 Fm 100       * 
243 U   92    9980#
243 Np  93   10527#
243 Pu  94   11343.
243 Am  95   11901.
243 Cm  96   12662.
243 Bk  97   13485#
243 Cf  98   14479#
243 Es  99   15259#
243 Fm 100   15882#
244 Np  93   10358#
244 Pu  94   11053.
244 Am  95   11731.
244 Cm  96   12494.
244 Bk  97   13163#
244 Cf  98   14051.
244 Es  99   14918#
244 Fm 100   15576#
245 Np  93   10128#
245 Pu  94   10719.
245 Am  95   11417.
245 Cm  96   12320.
245 Bk  97   13018.
245 Cf  98   13747#
245 Es  99   14524#
245 Fm 100   15343#
245 Md 101       * 
246 Pu  94   10553.
246 Am  95   11028#
246 Cm  96   11977.
246 Bk  97   12889.
246 Cf  98   13530.
246 Es  99   14268#
246 Fm 100   14920#
246 Md 101       * 
247 Pu  94   10213#
247 Am  95   10890#
247 Cm  96   11614.
247 Bk  97   12466.
247 Cf  98   13423.
247 Es  99   13930#
247 Fm 100   14657#
247 Md 101   15478#
248 Am  95   10574#
248 Cm  96   11366.
248 Bk  97   12029#
248 Cf  98   12994.
248 Es  99   13744#
248 Fm 100   14433.
248 Md 101   15110#
248 No 102       * 
249 Am  95   10192#
249 Cm  96   10925.
249 Bk  97   11785.
249 Cf  98   12523.
249 Es  99   13546#
249 Fm 100   14296#
249 Md 101   14847#
249 No 102       * 
250 Cm  96   10545.
250 Bk  97   11273#
250 Cf  98   12210.
250 Es  99   13216#
250 Fm 100   13968.
250 Md 101   14660#
250 No 102   15200#
251 Cm  96   10245.
251 Bk  97   10761.
251 Cf  98   11730.
251 Es  99   12805#
251 Fm 100   13707.
251 Md 101   14408#
251 No 102   15075#
251 Lr 103       * 
252 Cm  96   10076#
252 Bk  97   10558#
252 Cf  98   11278.
252 Es  99   12073#
252 Fm 100   13399.
252 Md 101   14262#
252 No 102   14835#
252 Lr 103       * 
253 Bk  97   10442#
253 Cf  98   10976.
253 Es  99   11644.
253 Fm 100   12750.
253 Md 101   13937#
253 No 102   14633#
253 Lr 103   15295#
253 Rf 104       * 
254 Bk  97   10284#
254 Cf  98   10835.
254 Es  99   11446.
254 Fm 100   12055.
254 Md 101   13200#
254 No 102   14290.
254 Lr 103   15008#
254 Rf 104       * 
255 Cf  98   10635#
255 Es  99   11063.
255 Fm 100   11688.
255 Md 101   12472#
255 No 102   13694.
255 Lr 103   14771#
255 Rf 104   15370#
255 Db 105       * 
256 Cf  98   10443#
256 Es  99   10946#
256 Fm 100   11558.
256 Md 101   12139#
256 No 102   13043.
256 Lr 103   14268#
256 Rf 104   15119#
256 Db 105       * 
257 Es  99   10828#
257 Fm 100   11352.
257 Md 101   11992.
257 No 102   12702.
257 Lr 103   13424#
257 Rf 104   14606#
257 Db 105   15529#
258 Es  99   10627#
258 Fm 100   11203#
258 Md 101   11912#
258 No 102   12487#
258 Lr 103   13107#
258 Rf 104   14023.
258 Db 105   14844#
258 Sg 106       * 
259 Fm 100   11028#
259 Md 101   11511#
259 No 102   12311.
259 Lr 103   12956#
259 Rf 104   13647#
259 Db 105   14358#
259 Sg 106       * 
260 Fm 100   10803#
260 Md 101   11278#
260 No 102   12009#
260 Lr 103   12648#
260 Rf 104   13337#
260 Db 105   14267#
260 Sg 106   14839#
260 Bh 107       * 
261 Md 101   11188#
261 No 102   11766#
261 Lr 103   12436#
261 Rf 104   13186#
261 Db 105   13825#
261 Sg 106   14657#
261 Bh 107       * 
262 Md 101   11067#
262 No 102   11653#
262 Lr 103   12318#
262 Rf 104   12897#
262 Db 105   13562#
262 Sg 106   14324.
262 Bh 107   14925#
263 No 102   11468#
263 Lr 103   11971#
263 Rf 104   12706#
263 Db 105   13340#
263 Sg 106   13957#
263 Bh 107   14780#
263 Hs 108       * 
264 No 102   11233#
264 Lr 103   11868#
264 Rf 104   12459#
264 Db 105   13034#
264 Sg 106   13727#
264 Bh 107   14626#
264 Hs 108       * 
265 Lr 103   11638#
265 Rf 104   12208#
265 Db 105   12771#
265 Sg 106   13539#
265 Bh 107   14224#
265 Hs 108   14920#
265 Mt 109       * 
266 Lr 103   10897#
266 Rf 104   12143#
266 Db 105   12768#
266 Sg 106   13307#
266 Bh 107   14096#
266 Hs 108   14569.
266 Mt 109       * 
267 Rf 104   11388#
267 Db 105   12551#
267 Sg 106   13131#
267 Bh 107   13792#
267 Hs 108   14390#
267 Mt 109   15030#
267 Ds 110       * 
268 Rf 104   10743#
268 Db 105   11818#
268 Sg 106   12959#
268 Bh 107   13440#
268 Hs 108   14449#
268 Mt 109   14954#
268 Ds 110       * 
269 Db 105   11068#
269 Sg 106   12186#
269 Bh 107   13431#
269 Hs 108   14232#
269 Mt 109   14564#
269 Ds 110   15188#
270 Db 105   10897#
270 Sg 106   11453#
270 Bh 107   12723#
270 Hs 108   13860#
270 Mt 109   14583#
270 Ds 110   15112#
271 Sg 106   11148#
271 Bh 107   11699#
271 Hs 108   12966#
271 Mt 109   14412#
271 Ds 110   15030#
272 Sg 106   11053#
272 Bh 107   11579#
272 Hs 108   12249#
272 Mt 109   13272#
272 Ds 110   14806#
272 Rg 111       * 
273 Sg 106   10882#
273 Bh 107   11431#
273 Hs 108   11992#
273 Mt 109   12531#
273 Ds 110   13735#
273 Rg 111       * 
274 Bh 107   11251#
274 Hs 108   11663#
274 Mt 109   12478#
274 Ds 110   12960#
274 Rg 111   14303#
275 Bh 107   11085#
275 Hs 108   11413#
275 Mt 109   12027#
275 Ds 110   12933#
275 Rg 111   13542#
276 Hs 108   11343#
276 Mt 109   12074#
276 Ds 110   12799#
276 Rg 111   13269#
276 Cn 112       * 
277 Hs 108   11269#
277 Mt 109   12003#
277 Ds 110   12567#
277 Rg 111   13101#
277 Cn 112       * 
278 Mt 109   11722#
278 Ds 110   12303#
278 Rg 111   13112#
278 Cn 112   13563#
278 Ed 113       * 
279 Mt 109   11615#
279 Ds 110   12157#
279 Rg 111   12706#
279 Cn 112   13515#
279 Ed 113       * 
280 Ds 110   12003#
280 Rg 111   12774#
280 Cn 112   13379#
280 Ed 113   13891#
281 Ds 110   11837#
281 Rg 111   12620#
281 Cn 112   13153#
281 Ed 113   13572#
282 Rg 111   12228#
282 Cn 112   12863#
282 Ed 113   13558#
283 Rg 111   12159#
283 Cn 112   12676#
283 Ed 113   13246#
284 Cn 112   12573#
284 Ed 113   13277#
284 Fl 114       * 
285 Cn 112   12455#
285 Ed 113   13119#
285 Fl 114       * 
286 Ed 113   12719#
286 Fl 114   13291#
287 Ed 113   12628#
287 Fl 114   13073#
287 Ef 115       * 
288 Fl 114   12873#
288 Ef 115       * 
289 Fl 114   12651#
289 Ef 115   13371#
289 Lv 116       * 
290 Ef 115   13019#
290 Lv 116       * 
291 Ef 115   12818#
291 Lv 116   13283#
291 Eh 117       * 
292 Lv 116   13099#
292 Eh 117       * 
293 Lv 116   12861#
293 Eh 117   13558#
293 Ei 118       * 
294 Eh 117   13197#
294 Ei 118       * 
295 Ei 118   13503#
