# A El   Z    S(n) - neutron energy
  1  n   0       * 
 57 Co  27   21458.
 57 Ni  28   26890.
 57 Cu  29   31816.
 57 Zn  30   34122#
 57 Ga  31       * 
 58 Ca  20    4164#
 58 Sc  21    6166#
 58 Ti  22    7933#
 58 V   23   10389.
 58 Cr  24   12849.
 58 Mn  25   15058.
 58 Fe  26   17690.
 58 Co  27   19949.
 58 Ni  28   22463.
 58 Cu  29   29167.
 58 Zn  30   33052#
 58 Ga  31   36293#
 58 Ge  32       * 
 59 Sc  21    5449#
 59 Ti  22    7737#
 59 V   23    9561.
 59 Cr  24   11703.
 59 Mn  25   14181.
 59 Fe  26   16625.
 59 Co  27   19026.
 59 Ni  28   21215.
 59 Cu  29   25192.
 59 Zn  30   30808#
 59 Ga  31   34893#
 59 Ge  32       * 
 60 Sc  21    5319#
 60 Ti  22    7362#
 60 V   23    8982.
 60 Cr  24   10820.
 60 Mn  25   13283.
 60 Fe  26   15400.
 60 Co  27   17945.
 60 Ni  28   20387.
 60 Cu  29   22820.
 60 Zn  30   28018.
 60 Ga  31   32193#
 60 Ge  32   36152#
 60 As  33       * 
 61 Sc  21    4909#
 61 Ti  22    6982#
 61 V   23    8817.
 61 Cr  24   10532.
 61 Mn  25   12359.
 61 Fe  26   14398.
 61 Co  27   16810.
 61 Ni  28   19207.
 61 Cu  29   21768.
 61 Zn  30   25275.
 61 Ga  31   29517#
 61 Ge  32   33632#
 61 As  33       * 
 62 Ti  22    6313#
 62 V   23    8377#
 62 Cr  24   10368.
 62 Mn  25   11698.
 62 Fe  26   13607.
 62 Co  27   15916.
 62 Ni  28   18415.
 62 Cu  29   20584.
 62 Zn  30   23136.
 62 Ga  31   28539#
 62 Ge  32   30793#
 62 As  33   34993#
 63 Ti  22    5543#
 63 V   23    7526#
 63 Cr  24    9674.
 63 Mn  25   11287.
 63 Fe  26   12857.
 63 Co  27   15096.
 63 Ni  28   17433.
 63 Cu  29   19738.
 63 Zn  30   22007.
 63 Ga  31   25555.
 63 Ge  32   29704#
 63 As  33   32743#
 64 Ti  22    4668#
 64 V   23    6986#
 64 Cr  24    8727.
 64 Mn  25   10607.
 64 Fe  26   12234.
 64 Co  27   14510.
 64 Ni  28   16495.
 64 Cu  29   18779.
 64 Zn  30   20978.
 64 Ga  31   22988.
 64 Ge  32   28718#
 64 As  33   31355#
 64 Se  34       * 
 65 V   23    6032#
 65 Cr  24    8355#
 65 Mn  25   10222.
 65 Fe  26   11724.
 65 Co  27   13476.
 65 Ni  28   15755.
 65 Cu  29   17826.
 65 Zn  30   19841.
 65 Ga  31   22253.
 65 Ge  32   25699.
 65 As  33   29579#
 65 Se  34       * 
 66 V   23    5433#
 66 Cr  24    7383#
 66 Mn  25    9903.
 66 Fe  26   11240.
 66 Co  27   12758.
 66 Ni  28   15050.
 66 Cu  29   16976.
 66 Zn  30   19037.
 66 Ga  31   21033.
 66 Ge  32   23434.
 66 As  33   28635#
 66 Se  34   31102#
 67 V   23    5013#
 67 Cr  24    6603#
 67 Mn  25    8635#
 67 Fe  26   10534.
 67 Co  27   12279.
 67 Ni  28   14759.
 67 Cu  29   16198.
 67 Zn  30   18110.
 67 Ga  31   20364.
 67 Ge  32   22322.
 67 As  33   25792.
 67 Se  34   29703#
 67 Br  35       * 
 68 Cr  24    6222#
 68 Mn  25    7772#
 68 Fe  26    9561.
 68 Co  27   11664.
 68 Ni  28   13600.
 68 Cu  29   15451.
 68 Zn  30   17250.
 68 Ga  31   19504.
 68 Ge  32   21514.
 68 As  33   23012.
 68 Se  34   28672#
 68 Br  35       * 
 69 Cr  24    6042#
 69 Mn  25    7453#
 69 Fe  26    9562#
 69 Co  27   11100.
 69 Ni  28   12378.
 69 Cu  29   14559.
 69 Zn  30   16680.
 69 Ga  31   18591.
 69 Ge  32   20585.
 69 As  33   22667.
 69 Se  34   25997.
 69 Br  35   29612#
 69 Kr  36       * 
 70 Cr  24    5823#
 70 Mn  25    7263#
 70 Fe  26    9166#
 70 Co  27   10842#
 70 Ni  28   11892.
 70 Cu  29   13551.
 70 Zn  30   15700.
 70 Ga  31   17966.
 70 Ge  32   19725.
 70 As  33   21589.
 70 Se  34   23883.
 70 Br  35   28777#
 70 Kr  36       * 
 71 Mn  25    6942#
 71 Fe  26    8543#
 71 Co  27   10233.
 71 Ni  28   11570.
 71 Cu  29   13117.
 71 Zn  30   15053.
 71 Ga  31   16953.
 71 Ge  32   18948.
 71 As  33   20923.
 71 Se  34   22854.
 71 Br  35   26385.
 71 Kr  36   30035#
 71 Rb  37       * 
 72 Mn  25    6543#
 72 Fe  26    8063#
 72 Co  27    9713#
 72 Ni  28   11154.
 72 Cu  29   12949.
 72 Zn  30   14723.
 72 Ga  31   15820.
 72 Ge  32   18166.
 72 As  33   20030.
 72 Se  34   22080.
 72 Br  35   23778.
 72 Kr  36   28983#
 72 Rb  37       * 
 73 Fe  26    7613#
 73 Co  27    9191#
 73 Ni  28   10844.
 73 Cu  29   12418.
 73 Zn  30   14407.
 73 Ga  31   15702.
 73 Ge  32   17533.
 73 As  33   19202.
 73 Se  34   21223.
 73 Br  35   23287.
 73 Kr  36   26367.
 73 Rb  37   30164#
 73 Sr  38       * 
 74 Fe  26    7303#
 74 Co  27    8763#
 74 Ni  28   10373#
 74 Cu  29   12365.
 74 Zn  30   13753.
 74 Ga  31   15603.
 74 Ge  32   16979.
 74 As  33   18772.
 74 Se  34   20487.
 74 Br  35   22369.
 74 Kr  36   24533.
 74 Rb  37   29729#
 74 Sr  38       * 
 75 Fe  26    6883#
 75 Co  27    8374#
 75 Ni  28   10064#
 75 Cu  29   11626.
 75 Zn  30   13108.
 75 Ga  31   14907.
 75 Ge  32   16702.
 75 As  33   18224.
 75 Se  34   20084.
 75 Br  35   21602.
 75 Kr  36   23914.
 75 Rb  37   27280#
 75 Sr  38   30811#
 75 Y   39       * 
 76 Co  27    7833#
 76 Ni  28    9317#
 76 Cu  29   11112.
 76 Zn  30   12688.
 76 Ga  31   14389.
 76 Ge  32   15933.
 76 As  33   17573.
 76 Se  34   19181.
 76 Br  35   21143.
 76 Kr  36   22824.
 76 Rb  37   24705.
 76 Sr  38   29563#
 76 Y   39       * 
 77 Co  27    7508#
 77 Ni  28    8912#
 77 Cu  29   10295#
 77 Zn  30   12372.
 77 Ga  31   13670.
 77 Ge  32   15498.
 77 As  33   17024.
 77 Se  34   18572.
 77 Br  35   20270.
 77 Kr  36   21988.
 77 Rb  37   23754.
 77 Sr  38   27327.
 77 Y   39   30761#
 77 Zr  40       * 
 78 Ni  28    8402#
 78 Cu  29    9664.
 78 Zn  30   11322.
 78 Ga  31   13551.
 78 Ge  32   14791.
 78 As  33   16668.
 78 Se  34   17916.
 78 Br  35   19305.
 78 Kr  36   21307.
 78 Rb  37   22598.
 78 Sr  38   25068.
 78 Y   39   29836#
 78 Zr  40       * 
 79 Ni  28    6913#
 79 Cu  29    9259#
 79 Zn  30   10785.
 79 Ga  31   12697.
 79 Ge  32   14456.
 79 As  33   15862.
 79 Se  34   17460.
 79 Br  35   18975.
 79 Kr  36   20415.
 79 Rb  37   22115.
 79 Sr  38   23816.
 79 Y   39   27522#
 79 Zr  40   30873#
 79 Nb  41       * 
 80 Ni  28    4883#
 80 Cu  29    7845#
 80 Zn  30   10308.
 80 Ga  31   11660.
 80 Ge  32   13815.
 80 As  33   15540.
 80 Se  34   16876.
 80 Br  35   18579.
 80 Kr  36   19857.
 80 Rb  37   21382.
 80 Sr  38   23280.
 80 Y   39   25118#
 80 Zr  40   29653#
 80 Nb  41       * 
 81 Cu  29    5823#
 81 Zn  30    8910.
 81 Ga  31   11222.
 81 Ge  32   12907.
 81 As  33   15039.
 81 Se  34   16614.
 81 Br  35   18051.
 81 Kr  36   19396.
 81 Rb  37   20796.
 81 Sr  38   22193.
 81 Y   39   24037.
 81 Zr  40   26832#
 81 Nb  41   30853#
 81 Mo  42       * 
