# A Z El S(n) - neutron energy
# 89 39 Y 11480.65
# A El   Z    S(n) - neutron energy
 46 V   23   13260.6
 46 Cr  24   18028.0
 46 Mn  25   15391# 
 46 Fe  26   20923# 
 47 P   15    1331# 
 47 S   16    1041# 
 47 Cl  17    3992# 
 47 Ar  18    3664.7
 47 K   19    8369.3
 47 Ca  20    7276.3
 47 Sc  21   10646.6
 47 Ti  22    8880.8
 47 V   23   13002.5
 47 Cr  24   13162.3
 47 Mn  25   18068# 
 47 Fe  26   15851# 
 47 Co  27       *  
 48 S   16    2680# 
 48 Cl  17    2572# 
 48 Ar  18    4986.3
 48 K   19    4643.8
 48 Ca  20    9951.5
 48 Sc  21    8238.5
 48 Ti  22   11626.6
 48 V   23   10542.3
 48 Cr  24   16330.7
 48 Mn  25   14801.2
 48 Fe  26   19202# 
 48 Co  27   16942# 
 48 Ni  28       *  
 49 S   16    -260# 
 49 Cl  17    2851# 
 49 Ar  18    2980# 
 49 K   19    5398.3
 49 Ca  20    5146.4
 49 Sc  21   10128.7
 49 Ti  22    8142.4
 49 V   23   11555.5
 49 Cr  24   10582.3
 49 Mn  25   16395.6
 49 Fe  26   14822# 
 49 Co  27   19451# 
 49 Ni  28   16665# 
 50 Cl  17    1271# 
 50 Ar  18    4211# 
 50 K   19    4187.6
 50 Ca  20    6360.7
 50 Sc  21    6057.4
 50 Ti  22   10939.1
 50 V   23    9333.4
 50 Cr  24   13000.3
 50 Mn  25   13078.2
 50 Fe  26   17797.0
 50 Co  27   15821# 
 50 Ni  28   20391# 
 51 Cl  17    1521# 
 51 Ar  18    1432# 
 51 K   19    4859.6
 51 Ca  20    4814.4
 51 Sc  21    6752.6
 51 Ti  22    6372.4
 51 V   23   11051.1
 51 Cr  24    9260.6
 51 Mn  25   13687.6
 51 Fe  26   13797.4
 51 Co  27   17783# 
 51 Ni  28   15851# 
 52 Ar  18    2661# 
 52 K   19    2692.7
 52 Ca  20    6005.2
 52 Sc  21    5285.9
 52 Ti  22    7808.3
 52 V   23    7311.2
 52 Cr  24   12039.1
 52 Mn  25   10534.7
 52 Fe  26   16199.1
 52 Co  27   15090.1
 52 Ni  28   18501# 
 52 Cu  29       *  
 53 Ar  18       1# 
 53 K   19    3229.4
 53 Ca  20    3192.7
 53 Sc  21    6534.8
 53 Ti  22    5432.5
 53 V   23    8478.6
 53 Cr  24    7939.0
 53 Mn  25   12054.1
 53 Fe  26   10688.4
 53 Co  27   16369.7
 53 Ni  28   15372# 
 53 Cu  29   19061# 
 54 K   19     778# 
 54 Ca  20    3844.2
 54 Sc  21    3055.4
 54 Ti  22    6862.2
 54 V   23    6113.4
 54 Cr  24    9719.0
 54 Mn  25    8938.8
 54 Fe  26   13378.2
 54 Co  27   13421.8
 54 Ni  28   17718.8
 54 Cu  29   16212# 
 54 Zn  30       *  
 55 K   19    2361# 
 55 Ca  20    1261# 
 55 Sc  21    4339.7
 55 Ti  22    4117.4
 55 V   23    7322.7
 55 Cr  24    6246.2
 55 Mn  25   10226.1
 55 Fe  26    9298.1
 55 Co  27   14091.2
 55 Ni  28   14128.8
 55 Cu  29   18296# 
 55 Zn  30   16370# 
 56 K   19     852# 
 56 Ca  20    3619# 
 56 Sc  21    2764.2
 56 Ti  22    5723.2
 56 V   23    5081.6
 56 Cr  24    8246.6
 56 Mn  25    7270.4
 56 Fe  26   11197.1
 56 Co  27   10081.8
 56 Ni  28   16643.0
 56 Cu  29   15078.9
 56 Zn  30   18891# 
 56 Ga  31       *  
 57 Ca  20    1048# 
 57 Sc  21    4214.9
 57 Ti  22    2666.9
 57 V   23    6329.8
 57 Cr  24    5311.0
 57 Mn  25    8646.0
 57 Fe  26    7646.0
 57 Co  27   11376.4
 57 Ni  28   10247.6
 57 Cu  29   16737.1
 57 Zn  30   15232# 
 57 Ga  31   19692# 
 58 Ca  20    3116# 
 58 Sc  21    1951# 
 58 Ti  22    5266# 
 58 V   23    4059.6
 58 Cr  24    7538.4
 58 Mn  25    6412.6
 58 Fe  26   10044.5
 58 Co  27    8572.9
 58 Ni  28   12216.2
 58 Cu  29   12430.1
 58 Zn  30   17820# 
 58 Ga  31   16601# 
 58 Ge  32       *  
 59 Sc  21    3498# 
 59 Ti  22    2471# 
 59 V   23    5501.5
 59 Cr  24    4165.2
 59 Mn  25    7769.0
 59 Fe  26    6581.0
 59 Co  27   10453.8
 59 Ni  28    8999.2
 59 Cu  29   12761.9
 59 Zn  30   12988.1
 59 Ga  31   18292# 
 59 Ge  32   16861# 
 60 Sc  21    1821# 
 60 Ti  22    4891# 
 60 V   23    3481.2
 60 Cr  24    6655.1
 60 Mn  25    5513.9
 60 Fe  26    8819.5
 60 Co  27    7491.9
 60 Ni  28   11387.7
 60 Cu  29   10058.1
 60 Zn  30   15030.1
 60 Ga  31   13902# 
 60 Ge  32   19291# 
 60 As  33       *  
 61 Sc  21    3088# 
 61 Ti  22    2091# 
 61 V   23    5335.7
 61 Cr  24    3876.9
 61 Mn  25    6845.5
 61 Fe  26    5578.7
 61 Co  27    9319.0
 61 Ni  28    7820.1
 61 Cu  29   11710.2
 61 Zn  30   10245.8
 61 Ga  31   15616# 
 61 Ge  32   14341# 
 61 As  33   19502# 
 62 Ti  22    4221# 
 62 V   23    3041# 
 62 Cr  24    6491.0
 62 Mn  25    4853.1
 62 Fe  26    8028.8
 62 Co  27    6597.5
 62 Ni  28   10595.7
 62 Cu  29    8874.6
 62 Zn  30   12890.3
 62 Ga  31   12923.5
 62 Ge  32   16452# 
 62 As  33   15492# 
 63 Ti  22    1322# 
 63 V   23    4485# 
 63 Cr  24    3183.8
 63 Mn  25    6434.4
 63 Fe  26    4828.8
 63 Co  27    8498.4
 63 Ni  28    6837.7
 63 Cu  29   10863.6
 63 Zn  30    9116.7
 63 Ga  31   12631.5
 63 Ge  32   13252# 
 63 As  33   17251# 
 64 Ti  22    3346# 
 64 V   23    2501# 
 64 Cr  24    5543.6
 64 Mn  25    4173.3
 64 Fe  26    7405.2
 64 Co  27    6012.2
 64 Ni  28    9657.4
 64 Cu  29    7916.1
 64 Zn  30   11861.9
 64 Ga  31   10357.0
 64 Ge  32   15465.6
 64 As  33   14103# 
 64 Se  34       *  
 65 V   23    3531# 
 65 Cr  24    2811# 
 65 Mn  25    6049.6
 65 Fe  26    4319.6
 65 Co  27    7464.1
 65 Ni  28    6098.0
 65 Cu  29    9910.4
 65 Zn  30    7979.3
 65 Ga  31   11896.0
 65 Ge  32   10234.0
 65 As  33   15476# 
 65 Se  34   14391# 
 66 V   23    1902# 
 66 Cr  24    4572# 
 66 Mn  25    3854.3
 66 Fe  26    6921.2
 66 Co  27    5294.6
 66 Ni  28    8951.9
 66 Cu  29    7065.9
 66 Zn  30   11058.4
 66 Ga  31    9137.4
 66 Ge  32   13200.1
 66 As  33   13159.3
 66 Se  34   16712# 
 67 V   23    3111# 
 67 Cr  24    2032# 
 67 Mn  25    4781# 
 67 Fe  26    3613.6
 67 Co  27    6984.5
 67 Ni  28    5807.7
 67 Cu  29    9132.5
 67 Zn  30    7052.4
 67 Ga  31   11226.7
 67 Ge  32    9122.5
 67 As  33   12633.4
 67 Se  34   12991# 
 67 Br  35       *  
 68 Cr  24    4191# 
 68 Mn  25    2991# 
 68 Fe  26    5948.0
 68 Co  27    4680.2
 68 Ni  28    7792.4
 68 Cu  29    6318.8
 68 Zn  30   10198.1
 68 Ga  31    8278.2
 68 Ge  32   12391.8
 68 As  33   10378.6
 68 Se  34   15680.4
 68 Br  35   14072# 
 69 Cr  24    1852# 
 69 Mn  25    4462# 
 69 Fe  26    3614# 
 69 Co  27    6419.8
 69 Ni  28    4586.1
 69 Cu  29    8240.5
 69 Zn  30    6482.0
 69 Ga  31   10313.1
 69 Ge  32    8193.1
 69 As  33   12288.9
 69 Se  34   10316.5
 69 Br  35   15539# 
 69 Kr  36       *  
 70 Cr  24    3971# 
 70 Mn  25    2801# 
 70 Fe  26    5552# 
 70 Co  27    4422# 
 70 Ni  28    7306.5
 70 Cu  29    5311.4
 70 Zn  30    9218.2
 70 Ga  31    7653.6
 70 Ge  32   11532.5
 70 As  33    9301.0
 70 Se  34   13566.5
 70 Br  35   13237.4
 70 Kr  36   16737# 
 71 Mn  25    4141# 
 71 Fe  26    2991# 
 71 Co  27    5812# 
 71 Ni  28    4263.6
 71 Cu  29    7806.0
 71 Zn  30    5835.3
 71 Ga  31    9300.3
 71 Ge  32    7415.9
 71 As  33   11622.5
 71 Se  34    9287.9
 71 Br  35   13148.1
 71 Kr  36   13298# 
 71 Rb  37       *  
 72 Mn  25    2401# 
 72 Fe  26    5072# 
 72 Co  27    3901# 
 72 Ni  28    6891.1
 72 Cu  29    5143.1
 72 Zn  30    8888.0
 72 Ga  31    6520.4
 72 Ge  32   10750.7
 72 As  33    8408.0
 72 Se  34   12792.9
 72 Br  35   10630.6
 72 Kr  36   15684.6
 72 Rb  37   14341# 
 73 Fe  26    2541# 
 73 Co  27    5290# 
 73 Ni  28    3953.4
 73 Cu  29    7275.7
 73 Zn  30    5519.2
 73 Ga  31    9182.3
 73 Ge  32    6782.9
 73 As  33   10794.2
 73 Se  34    8430.5
 73 Br  35   12657.0
 73 Kr  36   10682.4
 73 Rb  37   15823# 
 73 Sr  38       *  
 74 Fe  26    4762# 
 74 Co  27    3473# 
 74 Ni  28    6419# 
 74 Cu  29    5090.0
 74 Zn  30    8234.6
 74 Ga  31    6421.6
 74 Ge  32   10196.2
 74 As  33    7978.6
 74 Se  34   12057.1
 74 Br  35    9711.9
 74 Kr  36   13851.4
 74 Rb  37   13906# 
 74 Sr  38   16948# 
 75 Fe  26    2121# 
 75 Co  27    4901# 
 75 Ni  28    3645# 
 75 Cu  29    6536.4
 75 Zn  30    4873.5
 75 Ga  31    8486.2
 75 Ge  32    6505.8
 75 As  33   10245.4
 75 Se  34    8027.6
 75 Br  35   11890.1
 75 Kr  36   10063.1
 75 Rb  37   13374.0
 75 Sr  38   13863# 
 75 Y   39       *  
 76 Co  27    2932# 
 76 Ni  28    5672# 
 76 Cu  29    4575.9
 76 Zn  30    7815.4
 76 Ga  31    5903.3
 76 Ge  32    9427.2
 76 As  33    7328.5
 76 Se  34   11153.7
 76 Br  35    9253.3
 76 Kr  36   12761.4
 76 Rb  37   11331.7
 76 Sr  38   15700.2
 76 Y   39   14731# 
 77 Co  27    4575# 
 77 Ni  28    3241# 
 77 Cu  29    5719# 
 77 Zn  30    4557.5
 77 Ga  31    7767.0
 77 Ge  32    6071.2
 77 As  33    9696.2
 77 Se  34    7418.8
 77 Br  35   11017.0
 77 Kr  36    9227.0
 77 Rb  37   12422.7
 77 Sr  38   11627.1
 77 Y   39   16030# 
 77 Zr  40       *  
 78 Ni  28    5161# 
 78 Cu  29    3945# 
 78 Zn  30    6765.3
 78 Ga  31    5784.9
 78 Ge  32    8720.5
 78 As  33    6971.9
 78 Se  34   10497.7
 78 Br  35    8288.6
 78 Kr  36   12080.1
 78 Rb  37   10176.2
 78 Sr  38   13441.8
 78 Y   39   13806# 
 78 Zr  40   16881# 
 79 Ni  28    1752# 
 79 Cu  29    5314# 
 79 Zn  30    4020.3
 79 Ga  31    6913.0
 79 Ge  32    5735.8
 79 As  33    8890.4
 79 Se  34    6962.8
 79 Br  35   10687.1
 79 Kr  36    8335.3
 79 Rb  37   11938.8
 79 Sr  38   10374.2
 79 Y   39   13716# 
 79 Zr  40   13992# 
 79 Nb  41       *  
 80 Ni  28    3131# 
 80 Cu  29    2531# 
 80 Zn  30    6287.6
 80 Ga  31    4747.3
 80 Ge  32    8080.0
 80 As  33    6649.7
 80 Se  34    9913.3
 80 Br  35    7892.2
 80 Kr  36   11522.4
 80 Rb  37    9443.8
 80 Sr  38   12905.8
 80 Y   39   11401.6
 80 Zr  40   15661# 
 80 Nb  41   14841# 
 81 Cu  29    3292# 
 81 Zn  30    2622.3
 81 Ga  31    6475.6
 81 Ge  32    4827.7
 81 As  33    8390.1
 81 Se  34    6700.8
 81 Br  35   10159.3
 81 Kr  36    7874.1
 81 Rb  37   11352.5
 81 Sr  38    9287.9
 81 Y   39   12636.0
 81 Zr  40   11171# 
 81 Nb  41   16011# 
 81 Mo  42       *  
 82 Cu  29    1971# 
 82 Zn  30    4185.6
 82 Ga  31    3374.0
 82 Ge  32    7194.7
 82 As  33    5643.4
