# A Z El S(n) - neutron energy
# 89 39 Y 11480.65
# A El   Z    S(n) - neutron energy
164 Dy  66    7658.1
164 Ho  67    6674.4
164 Er  68    8846.4
164 Tm  69    7246.6
164 Yb  70    9789.6
164 Lu  71    7922.2
164 Hf  72   10626.1
164 Ta  73    8819.4
164 W   74   11398.8
164 Re  75    9541.5
164 Os  76   12301# 
164 Ir  77       *  
165 Sm  62    3777# 
165 Eu  63    5414# 
165 Gd  64    4750# 
165 Tb  65    6559# 
165 Dy  66    5715.9
165 Ho  67    7988.8
165 Er  68    6650.0
165 Tm  69    9096.9
165 Yb  70    7349.2
165 Lu  71    9871.1
165 Hf  72    7888.3
165 Ta  73   10636.3
165 W   74    8696.5
165 Re  75   11258.6
165 Os  76    9444# 
165 Ir  77   12320# 
166 Sm  62    4993# 
166 Eu  63    4555# 
166 Gd  64    6148# 
166 Tb  65    5390# 
166 Dy  66    7043.5
166 Ho  67    6243.6
166 Er  68    8475.7
166 Tm  69    7030.0
166 Yb  70    9371.6
166 Lu  71    7650.0
166 Hf  72   10294.7
166 Ta  73    8321.2
166 W   74   11098.3
166 Re  75    9305.0
166 Os  76   11708# 
166 Ir  77    9833# 
166 Pt  78       *  
167 Eu  63    4874# 
167 Gd  64    4355# 
167 Tb  65    6113# 
167 Dy  66    5417.1
167 Ho  67    7280.6
167 Er  68    6436.4
167 Tm  69    8726.5
167 Yb  70    7066.1
167 Lu  71    9551.4
167 Hf  72    7680.0
167 Ta  73   10324.6
167 W   74    8281.3
167 Re  75   11009# 
167 Os  76    9141.7
167 Ir  77   11790# 
167 Pt  78    9954# 
168 Eu  63    3801# 
168 Gd  64    5621# 
168 Tb  65    4867# 
168 Dy  66    6700.2
168 Ho  67    5851.8
168 Er  68    7771.3
168 Tm  69    6840.6
168 Yb  70    9062.6
168 Lu  71    7638.0
168 Hf  72    9964.1
168 Ta  73    8114.1
168 W   74   10866.3
168 Re  75    9035# 
168 Os  76   11564.5
168 Ir  77    9665.1
168 Pt  78   12466# 
169 Gd  64    3861# 
169 Tb  65    5677# 
169 Dy  66    5108.9
169 Ho  67    6807.3
169 Er  68    6003.2
169 Tm  69    8033.6
169 Yb  70    6866.9
169 Lu  71    9088.0
169 Hf  72    7427.6
169 Ta  73    9967.8
169 W   74    8096.0
169 Re  75   10685.6
169 Os  76    8798.7
169 Ir  77   11498.9
169 Pt  78    9576# 
169 Au  79       *  
170 Gd  64    5298# 
170 Tb  65    4466# 
170 Dy  66    6138# 
170 Ho  67    5512.8
170 Er  68    7256.8
170 Tm  69    6591.9
170 Yb  70    8457.6
170 Lu  71    7292.9
170 Hf  72    9608.2
170 Ta  73    7918.5
170 W   74   10444.2
170 Re  75    8575.2
170 Os  76   11274.8
170 Ir  77    9337# 
170 Pt  78   11858# 
170 Au  79   10035# 
171 Tb  65    5379# 
171 Dy  66    4597# 
171 Ho  67    6351.5
171 Er  68    5681.5
171 Tm  69    7485.7
171 Yb  70    6614.2
171 Lu  71    8593.4
171 Hf  72    7248.8
171 Ta  73    9653.9
171 W   74    7866.5
171 Re  75   10408.4
171 Os  76    8447.0
171 Ir  77   11124# 
171 Pt  78    9241.8
171 Au  79   11882# 
171 Hg  80       *  
172 Tb  65    3890# 
172 Dy  66    5892# 
172 Ho  67    5036# 
172 Er  68    6835.9
172 Tm  69    6235.4
172 Yb  70    8019.9
172 Lu  71    6978.9
172 Hf  72    9042.2
172 Ta  73    7681.0
172 W   74   10082.4
172 Re  75    8358.1
172 Os  76   11013.2
172 Ir  77    9038.6
172 Pt  78   11708.5
172 Au  79    9827.0
172 Hg  80   12610# 
173 Dy  66    4001# 
173 Ho  67    5938# 
173 Er  68    5242# 
173 Tm  69    6953.0
173 Yb  70    6367.1
173 Lu  71    8216.2
173 Hf  72    7080.8
173 Ta  73    9137.8
173 W   74    7701.5
173 Re  75   10088.0
173 Os  76    8265.7
173 Ir  77   10960.3
173 Pt  78    8907.3
173 Au  79   11585.7
173 Hg  80    9722# 
174 Dy  66    5503# 
174 Ho  67    4411# 
174 Er  68    6367# 
174 Tm  69    5679.7
174 Yb  70    7464.6
174 Lu  71    6760.6
174 Hf  72    8504.0
174 Ta  73    7415.5
174 W   74    9571.0
174 Re  75    8190.5
174 Os  76   10628.4
174 Ir  77    8666.3
174 Pt  78   11446.5
174 Au  79    9474# 
174 Hg  80   12003# 
175 Ho  67    5584# 
175 Er  68    4774# 
175 Tm  69    6517.3
175 Yb  70    5822.3
175 Lu  71    7666.7
175 Hf  72    6708.5
175 Ta  73    8739.2
175 W   74    7477.0
175 Re  75    9686.5
175 Os  76    8181.2
175 Ir  77   10602.3
175 Pt  78    8466.6
175 Au  79   11240# 
175 Hg  80    9402.8
176 Ho  67    4159# 
176 Er  68    6050# 
176 Tm  69    5132.0
176 Yb  70    6867.0
176 Lu  71    6287.9
176 Hf  72    8165.9
176 Ta  73    7028.0
176 W   74    9080.1
176 Re  75    7845.9
176 Os  76   10063.8
176 Ir  77    8555.1
176 Pt  78   11291.7
176 Au  79    9188.3
176 Hg  80   11883.6
176 Tl  81       *  
177 Er  68    4299# 
177 Tm  69    6169# 
177 Yb  70    5566.4
177 Lu  71    7072.8
177 Hf  72    6375.6
177 Ta  73    8420.5
177 W   74    7131.4
177 Re  75    9277.6
177 Os  76    7929.8
177 Ir  77   10240.4
177 Pt  78    8507.8
177 Au  79   11095.4
177 Hg  80    9068.9
177 Tl  81   11993.4
178 Er  68    5473# 
178 Tm  69    4718# 
178 Yb  70    6780.3
178 Lu  71    6025.3
178 Hf  72    7625.9
178 Ta  73    6955# 
178 W   74    8776.5
178 Re  75    7455.6
178 Os  76    9659.1
178 Ir  77    8275.7
178 Pt  78   10698.3
178 Au  79    8829.9
178 Hg  80   11604.6
178 Tl  81    9521# 
178 Pb  82       *  
179 Tm  69    5556# 
179 Yb  70    4913# 
179 Lu  71    6792.4
179 Hf  72    6098.9
179 Ta  73    7830# 
179 W   74    6959.5
179 Re  75    9002.1
179 Os  76    7546.5
179 Ir  77    9901.1
179 Pt  78    8341.9
179 Au  79   10756.1
179 Hg  80    8683.5
179 Tl  81   11549# 
179 Pb  82    9594.9
180 Tm  69    4391# 
180 Yb  70    6134# 
180 Lu  71    5688.7
180 Hf  72    7387.7
180 Ta  73    6646.8
180 W   74    8412.3
180 Re  75    7324.4
180 Os  76    9409.6
180 Ir  77    7967.1
180 Pt  78   10239.0
180 Au  79    8708.2
180 Hg  80   11393.6
180 Tl  81    9189.4
180 Pb  82   12063.3
181 Tm  69    5322# 
181 Yb  70    4560# 
181 Lu  71    6192.3
181 Hf  72    5694.8
181 Ta  73    7576.7
181 W   74    6669.0
181 Re  75    8751.3
181 Os  76    7263.4
181 Ir  77    9556.8
181 Pt  78    8016.9
181 Au  79   10316.9
181 Hg  80    8482.0
181 Tl  81   11483.4
181 Pb  82    9247.2
182 Yb  70    5803# 
182 Lu  71    5154# 
182 Hf  72    6717.9
182 Ta  73    6062.9
182 W   74    8083.5
182 Re  75    6999.9
182 Os  76    9130.4
182 Ir  77    7659.9
182 Pt  78    9858.2
182 Au  79    8500.9
182 Hg  80   10987.1
182 Tl  81    8600.5
182 Pb  82   11779.0
183 Yb  70    4351# 
183 Lu  71    5907# 
183 Hf  72    5304.6
183 Ta  73    6934.1
183 W   74    6190.8
183 Re  75    8434.8
183 Os  76    7126.2
183 Ir  77    9222.9
183 Pt  78    7675.3
183 Au  79    9962.0
183 Hg  80    8299.0
183 Tl  81   11330.6
183 Pb  82    8821.4
184 Yb  70    5512# 
184 Lu  71    4767# 
184 Hf  72    6287.8
184 Ta  73    5617.8
184 W   74    7411.1
184 Re  75    6481.3
184 Os  76    8659.8
184 Ir  77    7478.8
184 Pt  78    9633.0
184 Au  79    8198.5
184 Hg  80   10615.6
184 Tl  81    8367.3
184 Pb  82   11547.6
184 Bi  83       *  
185 Yb  70    4031# 
185 Lu  71    5547# 
185 Hf  72    4891.7
185 Ta  73    6626.2
185 W   74    5753.7
185 Re  75    7670.7
185 Os  76    6624.6
185 Ir  77    8796.0
185 Pt  78    7425.2
185 Au  79    9610.7
185 Hg  80    7906.0
185 Tl  81   10945.8
185 Pb  82    8561.0
185 Bi  83   11370# 
186 Lu  71    4394# 
186 Hf  72    6175.7
186 Ta  73    5284.5
186 W   74    7192.0
186 Re  75    6179.3
186 Os  76    8265.3
186 Ir  77    6908.1
186 Pt  78    9247.6
186 Au  79    7928.0
186 Hg  80   10426.7
186 Tl  81    8200.1
186 Pb  82   11212.1
186 Bi  83    8982# 
186 Po  84       *  
187 Lu  71    5441# 
187 Hf  72    4464# 
187 Ta  73    6359.3
187 W   74    5466.7
187 Re  75    7360.7
187 Os  76    6290.3
187 Ir  77    8448.3
187 Pt  78    6891.9
187 Au  79    9384.3
187 Hg  80    7650.1
187 Tl  81   10629.2
187 Pb  82    8376.2
187 Bi  83   11308.3
187 Po  84    9343.6
188 Lu  71    4282# 
188 Hf  72    6134# 
188 Ta  73    4787.8
188 W   74    6835.1
188 Re  75    5871.6
188 Os  76    7989.6
188 Ir  77    6866.8
188 Pt  78    9207.2
188 Au  79    7414.7
188 Hg  80   10155.3
188 Tl  81    7963.1
188 Pb  82   10899.5
188 Bi  83    8882.7
188 Po  84   11444.2
189 Hf  72    4355# 
189 Ta  73    6288# 
189 W   74    5021.0
189 Re  75    7033.5
189 Os  76    5920.8
189 Ir  77    8176.0
189 Pt  78    6719.7
189 Au  79    9281.9
189 Hg  80    7495.8
189 Tl  81   10351.0
189 Pb  82    8100.1
189 Bi  83   10941.2
189 Po  84    8949.0
190 Hf  72    5939# 
190 Ta  73    4755# 
190 W   74    6836.0
190 Re  75    5728.1
190 Os  76    7792.3
190 Ir  77    6375.2
190 Pt  78    8908.4
190 Au  79    7322.9
190 Hg  80    9815.6
190 Tl  81    7827.2
190 Pb  82   10643.9
190 Bi  83    8606.2
190 Po  84   11213.1
191 Ta  73    6050# 
191 W   74    4865.1
191 Re  75    6785.7
191 Os  76    5758.7
191 Ir  77    8026.5
191 Pt  78    6463.1
191 Au  79    9035.6
191 Hg  80    7292.5
191 Tl  81    9982.2
191 Pb  82    7885.7
191 Bi  83   10711.0
191 Po  84    8576.2
191 At  85       *  
192 Ta  73    4643# 
192 W   74    6545# 
192 Re  75    5309.8
192 Os  76    7558.3
192 Ir  77    6198.1
192 Pt  78    8661.5
192 Au  79    7045.5
192 Hg  80    9490.9
192 Tl  81    7660.6
192 Pb  82   10396.2
192 Bi  83    8366.5
192 Po  84   11073.2
192 At  85    9009.3
193 Ta  73    5878# 
193 W   74    4709# 
193 Re  75    6714.1
193 Os  76    5583.4
193 Ir  77    7771.9
193 Pt  78    6262.4
193 Au  79    8704.0
193 Hg  80    7121.9
193 Tl  81    9676.2
193 Pb  82    7709.7
193 Bi  83   10421.3
193 Po  84    8325.9
193 At  85   11064.4
193 Rn  86       *  
194 Ta  73    4501# 
194 W   74    6311# 
194 Re  75    5077# 
194 Os  76    7112.1
194 Ir  77    6066.7
194 Pt  78    8351.7
194 Au  79    6878.4
194 Hg  80    9193.0
194 Tl  81    7531.6
194 Pb  82   10084.7
194 Bi  83    8215.5
194 Po  84   10750.6
194 At  85    8724.1
194 Rn  86   11390.7
195 W   74    4555# 
195 Re  75    6413# 
195 Os  76    5147.8
195 Ir  77    7231.8
195 Pt  78    6105.1
195 Au  79    8426.4
195 Hg  80    6900.7
195 Tl  81    9289.0
195 Pb  82    7571.0
195 Bi  83   10068.0
195 Po  84    8122.9
195 At  85   10821.4
195 Rn  86    8744.5
196 W   74    5942# 
196 Re  75    5035# 
196 Os  76    6836.8
196 Ir  77    5814.5
196 Pt  78    7921.9
196 Au  79    6642.9
196 Hg  80    8883.8
196 Tl  81    7412.6
196 Pb  82    9711.9
196 Bi  83    8054.7
196 Po  84   10488.1
196 At  85    8515.7
196 Rn  86   11150.6
197 W   74    4330# 
197 Re  75    6031# 
197 Os  76    5103# 
197 Ir  77    6899.9
197 Pt  78    5846.5
197 Au  79    8072.3
197 Hg  80    6785.6
197 Tl  81    8916.3
197 Pb  82    7468.4
197 Bi  83    9749.4
197 Po  84    7956.2
197 At  85   10511.8
197 Rn  86    8531.9
197 Fr  87       *  
198 Re  75    4709# 
198 Os  76    6600# 
198 Ir  77    5628# 
198 Pt  78    7555.5
198 Au  79    6512.3
198 Hg  80    8485.4
198 Tl  81    7258.4
198 Pb  82    9393.4
198 Bi  83    7753.6
198 Po  84   10186.6
198 At  85    8430.5
198 Rn  86   10812.0
198 Fr  87    8751.2
199 Re  75    5792# 
199 Os  76    4718# 
199 Ir  77    6649# 
199 Pt  78    5556.0
199 Au  79    7584.2
199 Hg  80    6663.0
199 Tl  81    8601.9
199 Pb  82    7235.6
199 Bi  83    9499.4
199 Po  84    7806.4
199 At  85   10180.1
199 Rn  86    8340.4
199 Fr  87   10873.9
200 Os  76    6367# 
200 Ir  77    5283# 
200 Pt  78    7281.7
200 Au  79    6217.6
200 Hg  80    8028.5
200 Tl  81    7059.1
200 Pb  82    9090.5
200 Bi  83    7644.5
200 Po  84    9804.6
200 At  85    8235.8
200 Rn  86   10576.6
200 Fr  87    8710.2
201 Os  76    4532# 
201 Ir  77    6357# 
201 Pt  78    5212.8
201 Au  79    7231.9
201 Hg  80    6230.5
201 Tl  81    8204.9
201 Pb  82    7091.3
201 Bi  83    9117.0
201 Po  84    7650.7
201 At  85    9872.8
201 Rn  86    8138.8
201 Fr  87   10615.2
201 Ra  88       *  
202 Os  76    5920# 
202 Ir  77    4951# 
202 Pt  78    7022.7
202 Au  79    6023.5
202 Hg  80    7754.1
202 Tl  81    6870.7
202 Pb  82    8740.8
202 Bi  83    7396.3
202 Po  84    9491.7
202 At  85    7872.6
202 Rn  86   10273.6
202 Fr  87    8563.6
202 Ra  88   10933.2
203 Os  76    2624# 
203 Ir  77    5985# 
203 Pt  78    5006# 
203 Au  79    6861.7
203 Hg  80    5995.2
203 Tl  81    7852.4
203 Pb  82    6917.2
203 Bi  83    8854.6
203 Po  84    7440.5
203 At  85    9643.1
203 Rn  86    7950.3
203 Fr  87   10291.1
203 Ra  88    8484.4
204 Ir  77    3069# 
204 Pt  78    6367# 
204 Au  79    5578# 
204 Hg  80    7492.2
204 Tl  81    6656.0
204 Pb  82    8394.6
204 Bi  83    7192.3
204 Po  84    9101.6
204 At  85    7784.1
204 Rn  86    9887.8
204 Fr  87    8340.4
204 Ra  88   10676.2
205 Ir  77    4343# 
205 Pt  78    3116# 
205 Au  79    6191# 
205 Hg  80    5668.9
205 Tl  81    7546.0
205 Pb  82    6731.6
205 Bi  83    8489.9
205 Po  84    7251.4
205 At  85    9167.8
205 Rn  86    7810.9
205 Fr  87    9988.4
205 Ra  88    8289.1
205 Ac  89       *  
206 Pt  78    4737# 
206 Au  79    3516# 
206 Hg  80    6729.3
206 Tl  81    6503.8
206 Pb  82    8086.6
206 Bi  83    7035.0
206 Po  84    8738.5
206 At  85    7529.0
206 Rn  86    9494.5
206 Fr  87    8003.9
206 Ra  88   10344.7
206 Ac  89    8698.5
207 Pt  78    2980# 
207 Au  79    4667# 
207 Hg  80    3612.9
207 Tl  81    6852.4
207 Pb  82    6737.7
207 Bi  83    8097.6
207 Po  84    7028.4
207 At  85    8869.0
207 Rn  86    7573.1
207 Fr  87    9673.2
207 Ra  88    8092.3
207 Ac  89   10404.5
208 Pt  78    4521# 
208 Au  79    3363# 
208 Hg  80    4849.2
208 Tl  81    3787.0
208 Pb  82    7367.8
208 Bi  83    6886.9
208 Po  84    8395.1
208 At  85    7313.7
208 Rn  86    9092.1
208 Fr  87    7892.8
208 Ra  88    9887.9
208 Ac  89    8464.3
208 Th  90       *  
209 Au  79    4510# 
209 Hg  80    3450# 
209 Tl  81    4965.9
209 Pb  82    3937.3
209 Bi  83    7459.7
209 Po  84    6967.8
209 At  85    8484.0
209 Rn  86    7356.7
209 Fr  87    9174.9
209 Ra  88    7940.9
209 Ac  89    9980.7
209 Th  90    8388# 
210 Au  79    3202# 
210 Hg  80    4792# 
210 Tl  81    3673.5
210 Pb  82    5185.1
210 Bi  83    4604.6
210 Po  84    7658.3
210 At  85    7160.8
210 Rn  86    8735.0
210 Fr  87    7634.9
210 Ra  88    9486.7
210 Ac  89    8125.4
210 Th  90   10379# 
211 Hg  80    3330# 
211 Tl  81    4902.3
211 Pb  82    3835.7
211 Bi  83    5138.4
211 Po  84    4550.7
211 At  85    7746.4
211 Rn  86    7221.9
211 Fr  87    8878.3
211 Ra  88    7682.0
211 Ac  89    9658.8
211 Th  90    8220.5
211 Pa  91       *  
212 Hg  80    4690# 
212 Tl  81    3544# 
212 Pb  82    5127.2
212 Bi  83    4330.1
212 Po  84    6008.2
212 At  85    5052.2
212 Rn  86    7975.5
212 Fr  87    7447.0
212 Ra  88    9102.3
212 Ac  89    7996.2
212 Th  90    9870.6
212 Pa  91    8558# 
213 Hg  80    3162# 
213 Tl  81    4737# 
213 Pb  82    3726.0
213 Bi  83    5185.0
213 Po  84    4355.4
213 At  85    6022.6
213 Rn  86    5107.7
213 Fr  87    8108.2
213 Ra  88    7526.7
213 Ac  89    9193.9
213 Th  90    8062.0
213 Pa  91   10002.0
214 Hg  80    4560# 
214 Tl  81    3391# 
214 Pb  82    5050.5
214 Bi  83    4040.4
214 Po  84    5887.7
214 At  85    4871.5
214 Rn  86    6695.0
214 Fr  87    5477.1
214 Ra  88    8324.1
214 Ac  89    7782.1
214 Th  90    9496.5
214 Pa  91    8248.4
215 Hg  80    3041# 
215 Tl  81    4625# 
215 Pb  82    3546.3
215 Bi  83    5241.2
215 Po  84    4142.9
215 At  85    5947.2
215 Rn  86    4920.1
215 Fr  87    6794.5
215 Ra  88    5630.3
215 Ac  89    8484.5
215 Th  90    7844.6
215 Pa  91    9692.8
215 U   92       *  
216 Hg  80    4420# 
216 Tl  81    3265# 
216 Pb  82    4934# 
216 Bi  83    3826.6
216 Po  84    5747.1
216 At  85    4558.9
216 Rn  86    6649.8
216 Fr  87    5418.4
216 Ra  88    7313.9
216 Ac  89    5957.5
216 Th  90    8694.5
216 Pa  91    8136.0
216 U   92    9928.0
217 Tl  81    4476# 
217 Pb  82    3311# 
217 Bi  83    5215.3
217 Po  84    3970.2
217 At  85    5933.3
217 Rn  86    4665.6
217 Fr  87    6727.6
217 Ra  88    5472.7
217 Ac  89    7512.0
217 Th  90    6163.8
217 Pa  91    8802.1
217 U   92    8164# 
218 Tl  81    3204# 
218 Pb  82    4858# 
218 Bi  83    3585.2
218 Po  84    5597.9
218 At  85    4367.7
218 Rn  86    6512.4
218 Fr  87    5326.7
218 Ra  88    7309.8
218 Ac  89    5931.3
218 Th  90    7910.3
218 Pa  91    6455.9
218 U   92    9150# 
219 Pb  82    3246# 
219 Bi  83    5005# 
219 Po  84    3746.8
219 At  85    5773.4
219 Rn  86    4459.2
219 Fr  87    6512.6
219 Ra  88    5328.2
219 Ac  89    7345.4
219 Th  90    5966.6
219 Pa  91    8214.9
219 U   92    6679.3
219 Np  93       *  
220 Pb  82    4681# 
220 Bi  83    3535# 
220 Po  84    5489.2
220 At  85    4091.6
220 Rn  86    6288.6
220 Fr  87    5206.7
220 Ra  88    7195.3
220 Ac  89    5897.1
220 Th  90    7873.6
220 Pa  91    6393# 
220 U   92    8425# 
220 Np  93    7217# 
221 Bi  83    4792# 
221 Po  84    3561.0
221 At  85    5664.3
221 Rn  86    4211.9
221 Fr  87    6276.3
221 Ra  88    5377.7
221 Ac  89    7291.8
221 Th  90    5800.0
221 Pa  91    7913# 
221 U   92    6485# 
221 Np  93    8532# 
222 Bi  83    3440# 
222 Po  84    5358.8
222 At  85    3901.0
222 Rn  86    6170.5
222 Fr  87    4970.5
222 Ra  88    6714.9
222 Ac  89    5972.9
222 Th  90    7808.5
222 Pa  91    6293# 
222 U   92    8318.4
222 Np  93    6902# 
223 Bi  83    4664# 
223 Po  84    3479# 
223 At  85    5596.3
223 Rn  86    4053.7
223 Fr  87    6067.0
223 Ra  88    5158.2
223 Ac  89    6866.9
223 Th  90    5888.6
223 Pa  91    7905# 
223 U   92    6507.1
223 Np  93    8490# 
224 Bi  83    3378# 
224 Po  84    5240# 
224 At  85    3788.3
224 Rn  86    6015.9
224 Fr  87    4705.1
224 Ra  88    6478.7
224 Ac  89    5663.0
224 Th  90    7463.4
224 Pa  91    6529.7
224 U   92    8186.0
224 Np  93    6795# 
225 Po  84    3451# 
225 At  85    5388# 
225 Rn  86    3982.2
225 Fr  87    5999.3
225 Ra  88    4904.1
225 Ac  89    6668.1
225 Th  90    5754.9
225 Pa  91    7592.8
225 U   92    6413.6
225 Np  93    8359# 
226 Po  84    5053# 
226 At  85    3852# 
226 Rn  86    5858.2
226 Fr  87    4371.3
226 Ra  88    6396.6
226 Ac  89    5399.4
226 Th  90    7183.8
226 Pa  91    6378.7
226 U   92    8122.3
226 Np  93    6882# 
227 Po  84    3339# 
227 At  85    5202# 
227 Rn  86    3932.6
227 Fr  87    5909.4
227 Ra  88    4561.4
227 Ac  89    6531.0
227 Th  90    5464.1
227 Pa  91    7273.4
227 U   92    6354.7
227 Np  93    8286# 
227 Pu  94       *  
228 At  85    3870# 
228 Rn  86    5713.6
228 Fr  87    4369.5
228 Ra  88    6308.7
228 Ac  89    5026.1
228 Th  90    7105.1
228 Pa  91    5978.9
228 U   92    7894.5
228 Np  93    7037.7
228 Pu  94    8754# 
229 At  85    4932# 
229 Rn  86    3952.3
229 Fr  87    5787.2
229 Ra  88    4449.6
229 Ac  89    6276.1
229 Th  90    5256.7
229 Pa  91    7098.0
229 U   92    6082.9
229 Np  93    7887.3
229 Pu  94    6763.1
229 Am  95       *  
230 Rn  86    5386# 
230 Fr  87    4252.8
230 Ra  88    6116.9
230 Ac  89    4922.8
230 Th  90    6794.3
230 Pa  91    5794.6
230 U   92    7666.8
230 Np  93    6614.7
230 Pu  94    8532.5
230 Am  95    7289# 
231 Rn  86    3665# 
231 Fr  87    5477.5
231 Ra  88    4371.1
231 Ac  89    6146.8
231 Th  90    5118.0
231 Pa  91    6820.5
231 U   92    5880.3
231 Np  93    7683.1
231 Pu  94    6696.7
231 Am  95    8593# 
231 Cm  96       *  
232 Fr  87    4079.0
232 Ra  88    5790.8
232 Ac  89    4679.7
232 Th  90    6440.4
232 Pa  91    5549.0
232 U   92    7267.8
232 Np  93    6336# 
232 Pu  94    8017.1
232 Am  95    7142# 
232 Cm  96    9029# 
233 Fr  87    5224.1
233 Ra  88    4234.2
233 Ac  89    5917.7
233 Th  90    4786.3
233 Pa  91    6528.4
233 U   92    5761.6
233 Np  93    7482# 
233 Pu  94    6382.6
233 Am  95    8148# 
233 Cm  96    7090# 
233 Bk  97       *  
234 Ra  88    5474.7
234 Ac  89    4538.1
234 Th  90    6190.0
234 Pa  91    5221.8
234 U   92    6845.4
234 Np  93    6065.0
234 Pu  94    7773.1
234 Am  95    6873# 
234 Cm  96    8640.6
234 Bk  97    7477# 
235 Ra  88    3872# 
235 Ac  89    5555.3
235 Th  90    4666.5
235 Pa  91    6121.3
235 U   92    5297.5
235 Np  93    6983.0
235 Pu  94    6238.8
235 Am  95    7907# 
235 Cm  96    6762# 
235 Bk  97    8823# 
236 Ac  89    4207.4
236 Th  90    5833.8
236 Pa  91    5026.2
236 U   92    6545.5
236 Np  93    5736.2
236 Pu  94    7352.1
236 Am  95    6656# 
236 Cm  96    8250# 
236 Bk  97    7233# 
237 Ac  89    5272# 
237 Th  90    4371.4
237 Pa  91    5877.6
237 U   92    5125.7
237 Np  93    6577.8
237 Pu  94    5881.1
237 Am  95    7542# 
237 Cm  96    6679.2
237 Bk  97    8425# 
237 Cf  98       *  
238 Th  90    5501# 
238 Pa  91    4704.9
238 U   92    6153.7
238 Np  93    5488.3
238 Pu  94    6999.8
238 Am  95    6220# 
238 Cm  96    7873.2
238 Bk  97    7043# 
238 Cf  98    8733# 
239 Th  90    4146# 
239 Pa  91    5628# 
239 U   92    4806.3
239 Np  93    6214.9
239 Pu  94    5646.2
239 Am  95    7102.3
239 Cm  96    6369.4
239 Bk  97    8037# 
239 Cf  98    7080# 
239 Es  99       *  
240 Pa  91    4499# 
240 U   92    5928.5
240 Np  93    5066.1
240 Pu  94    6534.2
240 Am  95    5951.5
240 Cm  96    7494.0
240 Bk  97    6657# 
240 Cf  98    8349# 
240 Es  99    7429# 
241 Pa  91    5341# 
241 U   92    4590# 
241 Np  93    6127.4
241 Pu  94    5241.5
241 Am  95    6647.0
241 Cm  96    6093.7
241 Bk  97    7704# 
241 Cf  98    6736# 
241 Es  99    8407# 
241 Fm 100       *  
242 U   92    5648# 
242 Np  93    4914.5
242 Pu  94    6309.5
242 Am  95    5537.6
242 Cm  96    6969.3
242 Bk  97    6369# 
242 Cf  98    8011# 
242 Es  99    7133# 
242 Fm 100    8798# 
243 U   92    4331# 
243 Np  93    5612# 
243 Pu  94    5033.6
243 Am  95    6364.3
243 Cm  96    5693.0
243 Bk  97    7115# 
243 Cf  98    6468# 
243 Es  99    8125# 
243 Fm 100    7084# 
244 Np  93    4745# 
244 Pu  94    6019.8
244 Am  95    5367.1
244 Cm  96    6801.4
244 Bk  97    6047.1
244 Cf  98    7583# 
244 Es  99    6793# 
244 Fm 100    8493# 
245 Np  93    5383# 
245 Pu  94    4699.1
245 Am  95    6050.0
245 Cm  96    5518.6
245 Bk  97    6971.3
245 Cf  98    6164.2
245 Es  99    7731# 
245 Fm 100    6850# 
245 Md 101       *  
246 Pu  94    5854.7
246 Am  95    4978# 
246 Cm  96    6458.9
246 Bk  97    5918.1
246 Cf  98    7366.2
246 Es  99    6537# 
246 Fm 100    8070# 
246 Md 101    7229# 
247 Pu  94    4359# 
247 Am  95    5912# 
247 Cm  96    5155.1
247 Bk  97    6548.7
247 Cf  98    6057.7
247 Es  99    7394# 
247 Fm 100    6588# 
247 Md 101    8249# 
248 Am  95    4662# 
248 Cm  96    6211.7
248 Bk  97    5481# 
248 Cf  98    6937.2
248 Es  99    6350# 
248 Fm 100    7846# 
248 Md 101    6860# 
248 No 102       *  
249 Am  95    5530# 
249 Cm  96    4713.3
249 Bk  97    6305# 
249 Cf  98    5586.5
249 Es  99    7196# 
249 Fm 100    6449.9
249 Md 101    7987# 
249 No 102    6910# 
250 Cm  96    5832.4
250 Bk  97    4967.7
250 Cf  98    6623.7
250 Es  99    6021# 
250 Fm 100    7518.2
250 Md 101    6673# 
250 No 102    8290# 
251 Cm  96    4412.8
251 Bk  97    5793.2
251 Cf  98    5106.6
251 Es  99    6784# 
251 Fm 100    6189.6
251 Md 101    7735# 
251 No 102    6786# 
251 Lr 103       *  
252 Cm  96    5663# 
252 Bk  97    4765# 
252 Cf  98    6171.7
252 Es  99    5288.9
252 Fm 100    7209.6
252 Md 101    6528# 
252 No 102    8049# 
252 Lr 103    7062# 
253 Bk  97    5677# 
253 Cf  98    4804.3
253 Es  99    6355.4
253 Fm 100    5541.2
253 Md 101    7409# 
253 No 102    6584.0
253 Lr 103    8233# 
253 Rf 104       *  
254 Bk  97    4607# 
254 Cf  98    6031.4
254 Es  99    5091.2
254 Fm 100    6514.2
254 Md 101    5791# 
254 No 102    7706.7
254 Lr 103    6775# 
254 Rf 104    8430# 
255 Cf  98    4603# 
255 Es  99    5972.6
255 Fm 100    5174.4
255 Md 101    6681# 
255 No 102    5987.4
255 Lr 103    7996# 
255 Rf 104    6940# 
255 Db 105       *  
256 Cf  98    5840# 
256 Es  99    4974# 
256 Fm 100    6384.1
256 Md 101    5458# 
256 No 102    7056.4
256 Lr 103    6272.0
256 Rf 104    8179# 
256 Db 105    7166# 
257 Es  99    5855# 
257 Fm 100    4968.1
257 Md 101    6534# 
257 No 102    5646.1
257 Lr 103    7152# 
257 Rf 104    6426.9
257 Db 105    8363# 
258 Es  99    4773# 
